layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,base_channel_ratio,apply_gamma,gamma_raw,residual_gamma,final_dim0,final_dim1,dominant_channel
16,4,48,23.896252611126553,7.238190650939941,1.105248588466115,6.817035675048828,5.510354042053223,7.534519057370867,6.090311026927876,0.8083211390871523,0,1.0,1.0,7.534519057370867,6.090311026927876,0
16,4,49,-11.643527106591046,9.033584594726562,0.8855842236392044,5.697543144226074,8.51984977722168,5.04565432203032,7.54504455048351,0.6687375121869861,0,1.0,1.0,5.04565432203032,7.54504455048351,1
16,4,50,-40.30983423068904,7.377091884613037,1.0844381668454217,5.944129943847656,6.779448509216309,6.446041379797132,7.3518927135574605,0.8767866494991325,0,1.0,1.0,6.446041379797132,7.3518927135574605,1
16,4,51,36.44084140699097,8.54477596282959,0.9362445586403428,7.762905120849609,7.30841064453125,7.2679776786367,6.8424596982515435,0.9414530424830675,1,1.0,1.0,7.2679776786367,6.8424596982515435,0
16,4,52,30.089162370502056,7.776648998260498,1.0287207255708033,6.968156337738037,7.750391006469727,7.168286843648665,7.9729878596329655,0.8990715864427085,0,1.0,1.0,7.168286843648665,7.9729878596329655,1
16,4,53,-20.439867356020002,8.294200897216797,0.9645293258672432,6.373688697814941,7.955845832824707,6.147609662991112,7.673646617838131,0.8011327559312414,0,1.0,1.0,6.147609662991112,7.673646617838131,1
16,4,54,42.099666088548425,11.839276313781738,0.6757169769479445,11.612831115722656,9.829584121704102,7.846987135323139,6.642016867373412,0.8464416664421986,0,1.0,1.0,7.846987135323139,6.642016867373412,0
16,4,55,27.07054716546981,8.309393882751465,0.9627657700288224,7.392777919769287,8.287239074707031,7.117513526578753,7.97867010917326,0.892067654031163,0,1.0,1.0,7.117513526578753,7.97867010917326,1
16,4,56,-26.568910991320987,9.700261116027832,0.8247200672548417,7.9590277671813965,8.943740844726562,6.563969915432994,7.376082550972765,0.8898991937891653,0,1.0,1.0,6.563969915432994,7.376082550972765,1
16,4,57,-37.862647956220755,8.688929557800293,0.9207118030802975,7.515694618225098,8.286091804504395,6.919788743346918,7.629102525814117,0.9070252654139673,1,1.0,1.0,6.919788743346918,7.629102525814117,1
16,4,58,33.48409987635733,9.265804290771484,0.8633897014172645,6.064549446105957,8.153552055358887,5.236069535503659,7.039692874566432,0.7437923257165027,0,1.0,1.0,5.236069535503659,7.039692874566432,1
16,4,59,44.141065431818966,9.448267936706543,0.8467160387058861,8.439176559448242,8.098763465881348,7.145586146355584,6.857352920247007,0.9596627596106189,1,1.0,1.0,7.145586146355584,6.857352920247007,0
16,4,60,16.016880750993323,7.4670867919921875,1.0713682889797553,6.085156440734863,6.544909954071045,6.519443644084248,7.012008979019664,0.9297540353400573,1,1.0,1.0,6.519443644084248,7.012008979019664,1
16,4,61,-39.60591452428157,8.50128173828125,0.9410345694080482,7.211069107055664,6.998060703277588,6.785865312129806,6.585417040600208,0.9704609121593831,1,1.0,1.0,6.785865312129806,6.585417040600208,0
16,4,62,-8.169705232417765,9.542401313781738,0.838363398995376,9.501381874084473,6.844042778015137,7.965610803110515,5.7377949662465255,0.7203207774105606,0,1.0,1.0,7.965610803110515,5.7377949662465255,0
16,4,63,39.977090671680834,10.538808822631836,0.7590990722613921,10.418030738830566,8.47463607788086,7.908317468636948,6.433088384472283,0.8134585403260334,0,1.0,1.0,7.908317468636948,6.433088384472283,0
16,5,32,15.77330721468918,7.421625137329102,1.0779310261524533,5.5350542068481445,6.032454013824463,5.966406660997274,6.502569345339289,0.9175460259064658,1,1.0,1.0,5.966406660997274,6.502569345339289,1
