layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg
1,0,62,124,125,0.635360378,0.881752376,0.844274762,0.461633265,1.855976471,-3.020782239,1.542960961,0.59779545,0.037564927,0.635331892,0.881752474,0.84428173,0.461880088,1.855984044,-3.020075533,1.543600226,0.597768679,0.037563212,0.000706705,0.000639265,elongated,pca,axis_like,1.542960961,88.40515102,0.757562798,43.40515102,0.027835366,1.594848984,0.785398163,45,-0.757562798,-43.40515102
1,1,33,66,67,1.051236914,0.978031051,0.923124013,0.066667557,3.552916282,-0.024117127,3.100733623,1.039689629,0.011547285,1.405085111,0.45075097,0.89724741,0.381755292,3.502765261,0.250581381,-2.772988008,1.019214294,0.385870817,0.274698508,0.409463676,elongated,pca,axis_like,3.100733623,177.65895,0.744539133,42.65894998,0.040859031,2.34105002,2.35619449,135,-0.744539133,-42.65894998
1,1,38,76,77,0.78026762,0.973311274,0.945469469,0.217099488,3.678118217,-1.686103184,1.544717493,0.769855446,0.010412174,0.833039343,0.860850745,0.941781411,0.120468736,3.670937372,-1.588048606,1.696001704,0.775080941,0.057958402,0.098054579,0.151284211,elongated,pca,axis_like,1.544717493,88.50579287,0.759319329,43.50579287,0.026078834,1.494207127,0.785398163,45,-0.759319329,-43.50579287
1,1,39,78,79,0.504689477,0.981091023,0.986536424,0.17533046,6.081188542,-0.095703519,3.032551208,0.499917896,0.004771581,0.594089626,0.692038511,0.9841515,0.088094711,6.07383345,-0.01651457,-3.060034166,0.502611263,0.091478363,0.079188949,0.190599934,elongated,pca,axis_like,3.032551208,173.7523853,0.676356717,38.75238535,0.109041446,6.247614652,2.35619449,135,-0.676356717,-38.75238535
1,1,46,92,93,1.042799585,0.961209945,0.836487834,0.738924742,2.309698027,-0.652735538,3.119961231,1.022574458,0.020225127,1.041715535,0.962362431,0.836657822,0.730168879,2.309932754,-0.634165147,3.138224307,1.022111715,0.01960382,0.018570392,0.018263076,elongated,pca,axis_like,3.119961231,178.7606108,0.763766741,43.76061079,0.021631423,1.239389214,2.35619449,135,-0.763766741,-43.76061079
1,1,47,94,95,0.972851117,0.953911785,0.835600267,0.744709313,2.223678118,0.836616878,1.574572616,0.950432631,0.022418486,0.972567418,0.95533157,0.835648217,0.741348684,2.22374197,0.851858397,1.589447364,0.950845888,0.02172153,0.015241519,0.014874748,elongated,pca,axis_like,1.574572616,90.21636543,0.781621874,44.78363457,0.003776289,0.216365431,2.35619449,135,0.781621874,44.78363457
1,1,50,100,101,0.654757492,0.919659042,0.857801796,0.737706423,1.987406281,0.655409629,1.585359706,0.628455569,0.026301922,0.654207421,0.920668382,0.857921266,0.739854097,1.987544726,0.663636966,1.593134525,0.628257754,0.025949667,0.008227337,0.007774819,elongated,pca,axis_like,1.585359706,90.83442018,0.770834784,44.16557982,0.014563379,0.834420179,2.35619449,135,0.770834784,44.16557982
1,1,60,120,121,2.09849673,0.95814132,0.533670087,0.686780572,1.549686827,-0.850037778,-3.128510969,2.054576578,0.043920152,2.098533399,0.9582006,0.5336619,0.686496913,1.549674876,-0.848953209,-3.127484509,2.054674681,0.043858719,0.001084569,0.00102646,elongated,pca,axis_like,-3.128510969,-179.2504747,0.772316479,44.25047471,0.013081684,0.74952529,-2.35619449,-135,0.772316479,44.25047471
1,2,33,66,67,0.273438163,0.985320445,0.993180691,0.019677341,6.310641475,-1.579883718,1.569983613,0.271431188,0.002006975,1.391734617,0.626325231,0.96529135,0.393646598,6.221406216,-1.310008228,-3.010667854,1.131706562,0.260028056,0.26987549,1.439058814,elongated,pca,axis_like,1.569983613,89.95343494,0.78458545,44.95343494,0.000812714,0.046565062,0.785398163,45,-0.78458545,-44.95343494
1,2,38,76,77,1.538035985,0.746097612,0.364609687,0.424985349,0.939457321,-1.666824224,1.675572964,1.34278048,0.195255505,1.538925936,0.736322185,0.364242006,0.435822964,0.938983496,-1.572942246,1.770440285,1.336035622,0.202890314,0.093881977,0.094867321,elongated,pca,axis_like,1.675572964,96.00325912,0.680621526,38.99674088,0.104776638,6.003259124,2.35619449,135,0.680621526,38.99674088
