model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
rot_noclip_rpn,post,2,5,20480,5.669257164001465,5.637247085571289,6.526941776275635,7.338211536407471,7.934164524078369,8.582475662231445,0.5785689353942871,9.260323930114547,0.5167107582092285,8.396397429524821,1.1894588470458984,15.414684969193507,1.831444263458252,19.972879063629314,2.3094592094421387,22.545334244216996,3.6377029418945312,29.768001432207466
fireq_rpn,post,2,6,20480,11.888073921203613,11.87171745300293,13.164019584655762,14.0802583694458,14.86916732788086,15.43348217010498,-0.10230541229248047,-0.8680419288324567,-0.09343910217285156,-0.7933171503479234,-0.16188526153564453,-1.2450668291265352,-0.226470947265625,-1.634722263047293,-0.5070037841796875,-3.530135154337834,-0.5982303619384766,-4.032492132079369
orig,post,2,6,20480,11.785768508911133,11.778278350830078,13.002134323120117,13.853787422180176,14.362163543701172,14.835251808166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,6,20480,5.93747615814209,5.8994269371032715,6.696354389190674,7.469216823577881,7.925002098083496,8.243500709533691,5.848292350769043,49.62164619428247,5.878851413726807,49.91265479230666,6.305779933929443,48.498037146998556,6.384570598602295,46.085380149405765,6.437161445617676,44.820276736375334,6.5917510986328125,44.433024689235054
fireq_rpn,post,2,7,20480,11.542409896850586,11.607255935668945,12.756988525390625,13.518758773803711,14.039972305297852,14.992030143737793,-0.05635833740234375,-0.4906676337873852,-0.08229923248291016,-0.7140958061921292,-0.03196525573730469,-0.25119997865572113,-0.03544139862060547,-0.262853700127519,-0.014404296875,-0.10270027471507541,-0.3814821243286133,-2.61100489743327
orig,post,2,7,20480,11.486051559448242,11.524956703186035,12.72502326965332,13.483317375183105,14.025568008422852,14.61054801940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,7,20480,5.813169002532959,5.785760879516602,6.543920516967773,7.3222808837890625,7.800852298736572,8.085049629211426,5.672882556915283,49.38931823137134,5.739195823669434,49.79798164519657,6.181102752685547,48.57439253118116,6.161036491394043,45.69377342354797,6.224715709686279,44.3812022867674,6.525498390197754,44.66292695885908
fireq_rpn,post,3,0,20480,11.760194778442383,11.743084907531738,13.311657905578613,14.438937187194824,15.30792236328125,16.018312454223633,-0.09047126770019531,-0.7752648776718224,-0.09499835968017578,-0.8155705170107772,-0.0881032943725586,-0.6662602981039387,0.010872840881347656,0.07524556281516216,-0.2645406723022461,-1.7585186478442012,-0.39989280700683594,-2.5603922550390483
orig,post,3,0,20480,11.669723510742188,11.648086547851562,13.223554611206055,14.449810028076172,15.043381690979004,15.618419647216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,3,0,20480,5.6938605308532715,5.64217472076416,6.535670280456543,7.342632293701172,7.898190498352051,8.14230728149414,5.975862979888916,51.2082653405458,6.005911827087402,51.56135990589086,6.687884330749512,50.57554135316981,7.107177734375,49.185267630270985,7.145191192626953,47.49724057664293,7.476112365722656,47.86727808952745
