layer,head,pair,dim0,dim1,source,n_tokens_used,shape_label,orientation_label,r_mean,r_median,q99,q99_5,q99_9,r_max,ratio_max_q99,ratio_max_q99_5,ratio_max_q99_9,clip_tau,clip_reduction_frac,clip_fraction_at_tau,tail_label,shape_aware_action
13,4,34,68,69,raw_post,20480,isotropic_scatter,axis_like,1.2919166089269551,1.2014729766268308,3.2545478609431666,3.5425076539001545,4.026741161025969,5.426243791892601,1.6672803792536877,1.5317521716342746,1.3475521705770763,4.026741161025969,0.25791370320619234,0.001025390625,mild_clip,mild_clip
0,6,58,116,117,raw_post,20480,isotropic_scatter,intermediate,1.497539657030584,1.124567973188363,4.585260394380025,4.851329760096463,5.137528715859254,6.922362780929151,1.5096989452144574,1.4269000713716704,1.3474110148640566,5.137528715859254,0.25783596173073275,0.001025390625,mild_clip,mild_clip
19,1,40,80,81,raw_post,20480,isotropic_scatter,already_diagonal,1.3712082519525395,1.2708632855212394,3.406154647851425,3.7078899699778907,4.20299981415151,5.661550881501484,1.6621532099468077,1.52689290333371,1.3470262031511469,4.20299981415151,0.2576239440178194,0.001025390625,mild_clip,mild_clip
4,6,36,72,73,raw_post,20480,isotropic_scatter,already_diagonal,1.0934384379871234,1.0248780188841626,2.607045213097304,2.834203481234648,3.2669105071766813,4.400573770411113,1.6879545273336494,1.552666842570568,1.3470138715903064,3.2669105071766813,0.2576171477585574,0.001025390625,mild_clip,mild_clip
22,4,63,126,127,raw_post,20480,isotropic_scatter,already_diagonal,1.4898324687913151,1.3806878913748148,3.6721637575245074,4.004938050424492,5.74646300919524,7.740553411704121,2.1078998440206305,1.9327523457906377,1.3470117878280996,5.74646300919524,0.2576159993281246,0.001025390625,mild_clip,mild_clip
10,1,44,88,89,raw_post,20480,isotropic_scatter,intermediate,1.5604185481562969,1.454057805405422,3.8294917261487758,4.109380930906149,4.627468456382935,6.2329762707092895,1.627624947757137,1.51676770187739,1.3469516495810543,4.627468456382935,0.257582853615397,0.001025390625,mild_clip,mild_clip
10,3,38,76,77,raw_post,20480,isotropic_scatter,axis_like,1.6097462346550198,1.5143151506774135,3.9483867169462186,4.200509634658803,4.790149898950133,6.451787485045766,1.634031301279359,1.535953502358727,1.3468863440911978,4.790149898950133,0.2575468565799863,0.001025390625,mild_clip,mild_clip
8,4,39,78,79,raw_post,20480,elongated,intermediate,1.4486909833130768,1.3433783139940032,3.632271891932144,3.895977695527608,4.4907487896249245,6.04837082886015,1.6651756831019582,1.5524654660634694,1.3468512963436818,4.4907487896249245,0.25752753647361404,0.001025390625,mild_clip,mild_clip_check_rotation
26,5,44,88,89,raw_post,20480,isotropic_scatter,intermediate,1.4686478928945492,1.4008793790202416,3.396856327426819,3.615945319474898,4.299086004111018,5.790197814247621,1.704575423899015,1.601295733943362,1.3468439125690255,4.299086004111018,0.2575234660321114,0.001025390625,mild_clip,mild_clip
29,4,60,120,121,raw_post,20480,elongated,intermediate,1.5987770625858253,1.474341176280032,4.2402970676312775,4.605933802048155,5.3702192583004225,7.232830035036723,1.7057366311075794,1.5703286989970298,1.3468407316623758,5.3702192583004225,0.2575217124850969,0.001025390625,mild_clip,mild_clip_check_rotation
