layer,head,pair,dim0,dim1,shape_label,orientation_label,pre_anisotropy,post_anisotropy,post_balance,heuristic_alpha_deg,post_absmax_dim0,post_absmax_dim1,post_residual_gap,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent,support_count_234,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_range_deg,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,override_priority
7,5,40,80,81,elongated,already_diagonal,0.8723205150358522,0.8230527748948643,0.5885341763496399,3.1033096711865036,10.184473991394043,6.529210567474365,0.3589054699347657,1,1,1,0,2,19.125,9.739577293395996,40.0,20.0,0.0215154942125082,0.33738997019827366,94.00524752448939,high
1,5,53,106,107,elongated,axis_like,0.8474366825980467,0.846759192702504,0.5806173086166382,-34.1856864744109,4.963376522064209,3.1960203647613525,0.35607940470489113,1,1,1,0,2,24.25,28.45061492919922,85.0,-45.0,0.04145792871713638,0.3146214708685875,88.3571111484208,high
1,7,62,124,125,elongated,axis_like,0.7585034207118598,0.7585020604998125,0.6379836201667786,30.859682212352446,2.45424222946167,3.809229612350464,0.35571165846647573,1,1,1,0,2,15.625,10.90799617767334,45.0,35.0,0.027493320405483246,0.32821834832429886,92.27089723998662,high
1,3,53,106,107,elongated,axis_like,0.911533896695532,0.9103513921012006,0.5310567021369934,-30.293039316560574,2.143592357635498,3.3110408782958984,0.3525926026202534,1,1,1,0,2,23.75,30.305734634399414,85.0,-45.0,0.008500893600285053,0.34409172367304564,97.58903244599273,high
8,6,40,80,81,elongated,intermediate,0.7247399853613791,0.6832959495955878,0.5225063562393188,-16.556075606127916,5.65030574798584,8.53654670715332,0.3381040434944161,1,1,1,0,2,-17.5625,21.005859375,85.0,-25.0,0.006013135425746441,0.33209090400487185,98.22151328452838,high
7,1,47,94,95,elongated,intermediate,0.8044009576661366,0.8013642627702112,0.4848588705062866,18.224235970812757,5.436347007751465,8.191837310791016,0.3363702425351849,1,1,1,0,2,24.25,12.676257133483887,80.0,30.0,0.03958611190319061,0.2967841178178787,88.23138660754346,high
1,3,55,110,111,isotropic_scatter,intermediate,0.750638570266597,0.7507196131281861,0.5155848264694214,21.753895057498298,3.1604456901550293,4.753240585327148,0.33509662862194317,1,1,1,1,3,19.5,4.650269031524658,20.0,20.0,0.06651070713996887,0.2685859203338623,80.1517825943614,high
0,0,53,106,107,elongated,already_diagonal,0.726618128703802,0.7239857621392298,0.8456119298934937,-4.4963634474816985,1.798729658126831,2.6801669597625732,0.3288740272038223,1,1,1,1,3,-10.9375,2.7492897510528564,15.0,-15.0,0.013773194514214993,0.31510082725435495,95.81201505666287,high
1,0,50,100,101,elongated,intermediate,0.9276943652782722,0.9280418451776354,0.5408787131309509,28.251225811008524,2.3143062591552734,3.4365079402923584,0.3265529137818941,1,1,1,0,2,-34.125,9.642840385437012,80.0,40.0,0.015456674620509148,0.3110962528735399,95.26671687217049,high
1,5,51,102,103,elongated,intermediate,0.8308458693853012,0.8299697410332744,0.6191762685775757,-22.098959781105574,4.404933929443359,2.97114896774292,0.32549522527835584,1,1,1,1,3,33.3125,4.026765823364258,20.0,35.0,0.04318564757704735,0.28230956569314003,86.73232483415977,high
