layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
0,4,58,116,117,high,5.0,0.5,21,-20.0,-10.0,-15.0,-0.2617993877991494,0.05915877968072891,0.05915877968072891,-13.5,-0.23561944901923448,0.00854660663753748,0.3812803626060486,1.5,0.05061217304319143,85.55310524716324,0.3727337559685111,97.7584456280094,0.381280349824844,3,1,1,1,1
0,7,58,116,117,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.0020013104658573866,0.0020013104658573866,35.0,0.6108652381980153,0.0020013104658573866,0.3735150694847107,0.0,0.0,0.0,0.3715137590188533,99.46419552265499,0.37351506965425074,3,1,1,1,1
15,2,51,102,103,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.019694218412041664,0.019694218412041664,-24.0,-0.4188790204786391,0.001013880711980164,0.37034904956817627,1.0,0.0186803377000615,94.85188652442157,0.3693351688561961,99.7262364482473,0.3703490638545992,3,1,1,1,1
1,7,60,120,121,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.034664589911699295,0.034664589911699295,-23.5,-0.41015237421866746,0.0006705482956022024,0.3689247667789459,1.5,0.03399404161609709,98.06561018806141,0.3682542184833437,99.81824253723687,0.3689247769068361,2,1,0,1,1
3,5,41,82,83,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.0282862801104784,0.0282862801104784,19.0,0.33161255787892263,0.005304166115820408,0.3680327236652374,-1.0,0.022982113994657993,81.24827267811887,0.362728557549417,98.55877866973452,0.3680327216365942,2,1,1,1,0
7,5,40,80,81,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.0215154942125082,0.0215154942125082,21.0,0.3665191429188092,0.0010190129978582263,0.35890546441078186,1.0,0.020496481214649975,95.26381784311599,0.35788645141292363,99.7160776029055,0.3589054699347657,2,1,1,1,0
1,7,62,124,125,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.027493320405483246,0.027493320405483246,33.0,0.5759586531581288,0.001213463838212192,0.3557116687297821,-2.0,0.026279856567271054,95.58633216972156,0.3544982048915699,99.65886307791213,0.35571165846647573,2,1,1,1,0
1,5,53,106,107,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.04145792871713638,0.04145792871713638,-43.5,-0.7592182246175333,0.004101259168237448,0.3560793995857239,1.5,0.037356669548898935,90.10741902659933,0.35197814041748643,98.8482177927145,0.35607940470489113,2,1,1,1,0
1,3,53,106,107,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.008500893600285053,0.008500893600285053,-44.5,-0.7766715171374766,0.007461067754775286,0.3525926172733307,0.5,0.0010398258455097675,12.231959302195007,0.3451315495185554,97.88394101598801,0.3525926026202534,2,1,1,1,0
8,6,40,80,81,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.006013135425746441,0.006013135425746441,-24.5,-0.4276056667386107,0.0010262505384162068,0.3381040394306183,0.5,0.004986884887330234,82.93318766741707,0.3370777888922021,99.69646900991054,0.3381040434944161,2,1,1,1,0
7,1,47,94,95,high,5.0,0.5,21,25.0,35.0,30.0,0.5235987755982988,0.03958611190319061,0.03958611190319061,31.5,0.5497787143782138,0.004148066975176334,0.33637022972106934,1.5,0.03543804492801428,89.52140845425639,0.332222162745893,98.76681507200679,0.3363702425351849,2,1,1,1,0
1,3,55,110,111,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.06651070713996887,0.06651070713996887,17.5,0.30543261909900765,0.006833609193563461,0.3350966274738312,-2.5,0.05967709794640541,89.72555023481793,0.3282630182802677,97.96070487337354,0.33509662862194317,3,1,1,1,1
