layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
0,5,46,92,93,256,80,0.43984049558639526,20.0,0.034262027591466904,0.40557846799492836,92.21035172175569,14.5625,4.271544456481934,5.0,25.0,20.0,0.03563082963228226,0.03444042429327965,1
0,5,54,108,109,256,80,0.4085215926170349,-45.0,0.0031456893775612116,0.4053759032394737,99.22998210268163,-16.75,23.692033767700195,-45.0,35.0,80.0,0.035944003611803055,0.03292401134967804,0
0,5,57,114,115,256,80,0.5450711250305176,-20.0,0.030781898647546768,0.5142892263829708,94.35268220347879,-14.625,8.245264053344727,-30.0,5.0,35.0,0.02556638792157173,0.02357560023665428,0
0,5,60,120,121,256,80,0.3007033169269562,-40.0,0.015477641485631466,0.2852256754413247,94.85285308994742,-8.5,39.68154525756836,-45.0,40.0,85.0,0.022274121642112732,0.020737070590257645,0
0,5,61,122,123,256,80,0.533920407295227,-45.0,0.04682547599077225,0.4870949313044548,91.22987708449202,-22.375,34.91932678222656,-45.0,40.0,85.0,0.02922140061855316,0.02598591148853302,0
0,5,63,126,127,256,80,0.4173125624656677,25.0,0.014321996830403805,0.4029905656352639,96.56804081195565,21.0625,22.578941345214844,-45.0,40.0,85.0,0.015831636264920235,0.014822827652096748,0
0,6,42,84,85,256,80,0.41117677092552185,25.0,0.03206394612789154,0.3791128247976303,92.20190720995292,17.25,8.25,-5.0,35.0,40.0,0.030755382031202316,0.026140691712498665,0
0,6,46,92,93,256,80,0.28301429748535156,40.0,0.023339668288826942,0.2596746291965246,91.75318402773098,12.1875,28.238313674926758,-45.0,40.0,85.0,0.017921054735779762,0.015401432290673256,0
0,6,48,96,97,256,80,0.2688943147659302,25.0,0.04607782140374184,0.22281649336218834,82.86396592510626,7.6875,8.549260139465332,-10.0,35.0,45.0,0.02569032646715641,0.021122295409440994,0
0,6,52,104,105,256,80,0.3596048057079315,-15.0,0.054950349032878876,0.30465445667505264,84.71923952053378,-19.3125,25.50421142578125,-45.0,40.0,85.0,0.020032454282045364,0.016117552295327187,0
0,6,53,106,107,256,80,0.5136948227882385,-35.0,0.012992355041205883,0.5007024677470326,97.4708028064823,9.5625,29.761486053466797,-45.0,40.0,85.0,0.024097692221403122,0.018986502662301064,0
