layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
31,5,41,82,83,high,10.0,1.0,21,15.0,35.0,25.0,0.4363323129985824,0.022622274234890938,0.022622274234890938,26.0,0.4537856055185257,0.003932018298655748,0.38966646790504456,1.0,0.01869025593623519,82.61881958538328,0.3857344496063888,98.99092721018687,0.3896664563911794,2,1,1,1,0
27,7,44,88,89,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.034734491258859634,0.034734491258859634,-27.0,-0.47123889803846897,0.001036589383147657,0.380572110414505,-2.0,0.03369790187571198,97.01567708183072,0.37953552103135735,99.72762339783158,0.38057210466435526,2,1,1,1,0
1,1,49,98,99,high,10.0,1.0,21,-30.0,-10.0,-20.0,-0.3490658503988659,0.02922465279698372,0.02922465279698372,-19.0,-0.33161255787892263,0.002826894400641322,0.3793887794017792,1.0,0.026397758396342397,90.32702143536471,0.37656188500113785,99.25488191688252,0.3793887819987169,3,1,1,1,1
1,7,44,88,89,high,10.0,1.0,21,-30.0,-10.0,-20.0,-0.3490658503988659,0.03946802020072937,0.03946802020072937,-22.0,-0.3839724354387525,0.0026388918049633503,0.37686586380004883,-2.0,0.03682912839576602,93.31384804319477,0.3742269719950855,99.29977956125964,0.37686587156730267,2,1,1,1,0
0,4,58,116,117,high,10.0,1.0,21,-25.0,-5.0,-15.0,-0.2617993877991494,0.05915877968072891,0.05915877968072891,-13.0,-0.22689280275926285,0.00883094035089016,0.3812803626060486,2.0,0.05032783932983875,85.07247715630812,0.3724494222551584,97.68387223235659,0.381280349824844,3,1,1,1,1
0,7,58,116,117,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.0020013104658573866,0.0020013104658573866,35.0,0.6108652381980153,0.0020013104658573866,0.3735150694847107,0.0,0.0,0.0,0.3715137590188533,99.46419552265499,0.37351506965425074,3,1,1,1,1
15,2,51,102,103,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.019694218412041664,0.019694218412041664,-24.0,-0.4188790204786391,0.001013880711980164,0.37034904956817627,1.0,0.0186803377000615,94.85188652442157,0.3693351688561961,99.7262364482473,0.3703490638545992,3,1,1,1,1
3,5,41,82,83,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.0282862801104784,0.0282862801104784,19.0,0.33161255787892263,0.005304166115820408,0.3680327236652374,-1.0,0.022982113994657993,81.24827267811887,0.362728557549417,98.55877866973452,0.3680327216365942,2,1,1,1,0
7,5,40,80,81,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.0215154942125082,0.0215154942125082,21.0,0.3665191429188092,0.0010190129978582263,0.35890546441078186,1.0,0.020496481214649975,95.26381784311599,0.35788645141292363,99.7160776029055,0.3589054699347657,2,1,1,1,0
1,7,60,120,121,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.034664589911699295,0.034664589911699295,-24.0,-0.4188790204786391,0.011218204163014889,0.3689247667789459,1.0,0.023446385748684406,67.63785698434371,0.35770656261593103,96.9592163028359,0.3689247769068361,2,1,0,1,1
1,7,62,124,125,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.027493320405483246,0.027493320405483246,33.0,0.5759586531581288,0.001213463838212192,0.3557116687297821,-2.0,0.026279856567271054,95.58633216972156,0.3544982048915699,99.65886307791213,0.35571165846647573,2,1,1,1,0
1,5,53,106,107,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.04145792871713638,0.04145792871713638,-44.0,-0.767944870877505,0.011299624107778072,0.3560793995857239,1.0,0.03015830460935831,72.74435926388324,0.3447797754779458,96.82665604330819,0.35607940470489113,2,1,1,1,0
1,3,53,106,107,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.008500893600285053,0.008500893600285053,-45.0,-0.7853981633974483,0.008500893600285053,0.3525926172733307,0.0,0.0,0.0,0.34409172367304564,97.58903244599273,0.3525926026202534,2,1,1,1,0
8,6,40,80,81,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.006013135425746441,0.006013135425746441,-25.0,-0.4363323129985824,0.006013135425746441,0.3381040394306183,0.0,0.0,0.0,0.33209090400487185,98.22151328452838,0.3381040434944161,2,1,1,1,0
7,1,47,94,95,high,10.0,1.0,21,20.0,40.0,30.0,0.5235987755982988,0.03958611190319061,0.03958611190319061,32.0,0.5585053606381855,0.007888047024607658,0.33637022972106934,2.0,0.031698064878582954,80.07370098912925,0.3284821826964617,97.65495090598573,0.3363702425351849,2,1,1,1,0
1,3,55,110,111,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.06651070713996887,0.06651070713996887,18.0,0.3141592653589793,0.008244548924267292,0.3350966274738312,-2.0,0.05826615821570158,87.60417791541894,0.3268520785495639,97.53965028343619,0.33509662862194317,3,1,1,1,1
1,0,50,100,101,high,10.0,1.0,21,-44.0,45.0,40.0,0.6981317007977318,0.015456674620509148,0.015456674620509148,38.0,0.6632251157578453,0.00497338455170393,0.3265529274940491,-2.0,0.010483290068805218,67.82370934363303,0.32157954294234514,98.4770050632008,0.3265529137818941,2,1,1,1,0
