layer,head,pair,dim0,dim1,pre_absmax_dim0,pre_absmax_dim1,pre_residual_gap,post_absmax_dim0,post_absmax_dim1,post_residual_gap,residual_improvement
0,5,39,78,79,2.595703125,5.84765625,0.5561122244488977,5.524525165557861,5.840475082397461,0.054096612412890405,0.5020156120360073
0,5,40,80,81,3.39453125,6.8671875,0.5056882821387941,6.03640079498291,6.3783159255981445,0.05360586314688862,0.4520824189919055
0,5,41,82,83,2.3828125,3.947265625,0.39633844631370607,3.7489819526672363,3.9312186241149902,0.046356280042496915,0.34998216627120915
0,5,42,84,85,2.400390625,3.42578125,0.2993158494868871,3.0915369987487793,3.415037155151367,0.09472815132175309,0.204587698165134
0,5,43,86,87,3.060546875,4.18359375,0.2684407096171802,3.7446212768554688,4.1413679122924805,0.09580086672796721,0.17263984288921297
0,5,44,88,89,3.423828125,1.720703125,0.49743297204791787,3.4237751960754395,1.8822360038757324,0.45024544659553656,0.04718752545238131
0,5,45,90,91,2.15625,3.345703125,0.3555166374781086,2.5452871322631836,3.341127395629883,0.23819512671310883,0.11732151076499975
0,5,46,92,93,2.1640625,4.328125,0.5,2.422189235687256,4.324106216430664,0.4398404862296252,0.06015951377037482
0,5,47,94,95,2.49609375,2.794921875,0.1069182389937107,2.491758108139038,2.794370651245117,0.1082936306145503,-0.0013753916208396055
0,5,48,96,97,2.92578125,3.046875,0.03974358974358974,2.924424171447754,3.2491750717163086,0.0999487233222591,-0.060205133578669356
0,5,49,98,99,3.2734375,3.89453125,0.15947843530591777,3.37003755569458,3.8935699462890625,0.13446076423860265,0.025017671067315117
0,5,50,100,101,3.4375,2.6015625,0.2431818181818182,3.437448740005493,2.6585724353790283,0.22658557655327252,0.01659624162854567
0,5,51,102,103,3.080078125,2.408203125,0.21813570069752694,3.0791099071502686,2.4661448001861572,0.19907217522203147,0.019063525475495474
0,5,52,104,105,2.09375,2.439453125,0.14171337069655723,2.1119906902313232,2.4457833766937256,0.1364767990669853,0.0052365716295719456
0,5,53,106,107,2.98046875,2.5559592247009277,0.1424304567189548,2.9603090286254883,2.5559282302856445,0.13660087322964495,0.005829583489309842
0,5,54,108,109,4.28125,2.533203125,0.4083029197080292,4.30190896987915,2.5444862842559814,0.4085215884222996,-0.00021866871427039802
0,5,55,110,111,2.876953125,2.982421875,0.03536345776031434,2.9225516319274902,2.982341766357422,0.020048049188862157,0.015315408571452183
0,5,56,112,113,4.29296875,3.529296875,0.17788898999090083,4.2807793617248535,3.5973241329193115,0.15965672861265093,0.018232261378249903
0,5,57,114,115,2.638671875,5.76171875,0.5420338983050847,2.6363465785980225,5.795073986053467,0.5450711095418793,-0.003037211236794568
0,5,58,116,117,4.578125,2.859375,0.37542662116040953,4.579006195068359,2.8739078044891357,0.37237302548654194,0.003053595673867593
0,5,59,118,119,3.009765625,3.5859375,0.16067538126361655,3.001445770263672,3.604740858078003,0.16736156954594497,-0.00668618828232842
0,5,60,120,121,3.6640625,2.564453125,0.30010660980810233,3.6640124320983887,2.5622317790985107,0.30070330639377374,-0.0005966965856714079
0,5,61,122,123,4.1328125,1.9267578125,0.5337901701323251,4.132781505584717,1.9262052774429321,0.5339203694073811,-0.0001301992750559755
0,5,62,124,125,3.591796875,2.8237431049346924,0.2138355248903956,3.6026628017425537,2.823749542236328,0.21620487466367294,-0.0023693497732773516
0,5,63,126,127,2.669921875,4.58203125,0.417306052855925,2.669870138168335,4.581993579864502,0.4173125536663698,-6.500810444842742e-06
0,6,32,64,65,3.841796875,4.00390625,0.04048780487804878,5.047922134399414,4.867743968963623,0.03569353104873676,0.0047942738293120235
0,6,33,66,67,3.95703125,4.41796875,0.10433244916003537,5.520710468292236,5.538480758666992,0.0032085135164454073,0.10112393564358996
0,6,34,68,69,2.94140625,4.9296875,0.40332805071315375,5.196735382080078,5.215016841888428,0.003505541853960657,0.39982250885919307
0,6,35,70,71,5.2109375,4.46875,0.1424287856071964,4.677119731903076,5.0836358070373535,0.07996561724023012,0.06246316836696629
0,6,36,72,73,4.5859375,5.8671875,0.21837549933422104,5.369783401489258,5.893225193023682,0.08882093834697967,0.12955456098724139
0,6,37,74,75,5.9296875,5.1953125,0.12384716732542819,5.528720855712891,4.793225288391113,0.1330317783293004,-0.009184611003872217
0,6,38,76,77,3.26953125,4.00390625,0.18341463414634146,3.6954638957977295,3.5066869258880615,0.051083429640412494,0.13233120450592897
0,6,39,78,79,13.921875,6.4140625,0.5392817059483727,13.551093101501465,13.270710945129395,0.0206907409071674,0.5185909650412053
0,6,40,80,81,4.8671875,2.625,0.4606741573033708,4.730860710144043,4.029413223266602,0.1482705853870054,0.31240357191636536
0,6,41,82,83,2.30859375,4.15625,0.44454887218045114,3.2310733795166016,3.881136655807495,0.1674930140164425,0.27705585816400863
